"id", "Country"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Antigua and Barbuda"
"7","Argentina"
"8","Armenia"
"9","Australia"
"10","Austria"
"11","Azerbaijan"
"12","Bahamas"
"13","Bahrain"
"14","Bangladesh"
"15","Barbados"
"16","Belarus"
"17","Belgium"
"18","Belize"
"19","Benin"
"20","Bhutan"
"21","Bolivia"
"22","Bosnia and Herzegovina"
"23","Botswana"
"24","Brazil"
"25","Brunei Darussalam"
"26","Bulgaria"
"27","Burkina Faso"
"28","Burundi"
"29","Cambodia"
"30","Cameroon"
"31","Canada"
"32","Cape Verde"
"33","Central African Republic"
"34","Chad"
"35","Chile"
"36","China"
"37","Colombia"
"38","Comoros"
"39","Congo, Republic of the…"
"40","Costa Rica"
"41","Côte d’Ivoire"
"42","Croatia"
"43","Cuba"
"44","Cyprus"
"45","Czech Republic"
"47","Democratic Republic of the Congo"
"48","Denmark"
"49","Djibouti"
"50","Dominica"
"51","Dominican Republic"
"52","Ecuador"
"53","Egypt"
"54","El Salvador"
"55","Equatorial Guinea"
"56","Eritrea"
"57","Estonia"
"58","Ethiopia"
"59","Fiji"
"60","Finland"
"61","France"
"62","Gabon"
"63","Gambia"
"64","Georgia"
"65","Germany"
"66","Ghana"
"67","Greece"
"68","Grenada"
"69","Guatemala"
"70","Guinea"
"71","Guinea-Bissau"
"72","Guyana"
"73","Haiti"
"74","Honduras"
"75","Hong Kong (S.A.R.)"
"76","Hungary"
"77","Iceland"
"78","India"
"79","Indonesia"
"80","Iran"
"81","Iraq"
"82","Ireland"
"83","Israel"
"84","Italy"
"85","Jamaica"
"86","Japan"
"87","Jordan"
"88","Kazakhstan"
"89","Kenya"
"90","Kiribati"
"91","Kuwait"
"92","Kyrgyzstan"
"93","Lao People’s Democratic Republic"
"94","Latvia"
"95","Lebanon"
"96","Lesotho"
"97","Liberia"
"98","Libyan Arab Jamahiriya"
"99","Liechtenstein"
"100","Lithuania"
"101","Luxembourg"
"102","Madagascar"
"103","Malawi"
"104","Malaysia"
"105","Maldives"
"106","Mali"
"107","Malta"
"108","Marshall Islands"
"109","Mauritania"
"110","Mauritius"
"111","Mexico"
"112","Micronesia, Federated States of…"
"113","Monaco"
"114","Mongolia"
"115","Montenegro"
"116","Morocco"
"117","Mozambique"
"118","Myanmar"
"119","Namibia"
"120","Nauru"
"121","Nepal"
"122","Netherlands"
"123","New Zealand"
"124","Nicaragua"
"125","Niger"
"126","Nigeria"
"127","North Korea"
"128","Norway"
"129","Oman"
"130","Pakistan"
"131","Palau"
"132","Panama"
"133","Papua New Guinea"
"134","Paraguay"
"135","Peru"
"136","Philippines"
"137","Poland"
"138","Portugal"
"139","Qatar"
"141","Republic of Moldova"
"142","Romania"
"143","Russian Federation"
"144","Rwanda"
"145","Saint Kitts and Nevis"
"146","Saint Lucia"
"147","Saint Vincent and the Grenadines"
"148","Samoa"
"149","San Marino"
"150","Sao Tome and Principe"
"151","Saudi Arabia"
"152","Senegal"
"153","Serbia"
"154","Seychelles"
"155","Sierra Leone"
"156","Singapore"
"157","Slovakia"
"158","Slovenia"
"159","Solomon Islands"
"160","Somalia"
"161","South Africa"
"162","South Korea"
"163","Spain"
"164","Sri Lanka"
"165","Sudan"
"166","Suriname"
"167","Swaziland"
"168","Sweden"
"169","Switzerland"
"170","Syrian Arab Republic"
"171","Tajikistan"
"172","Thailand"
"173","The former Yugoslav Republic of Macedonia"
"174","Timor-Leste"
"175","Togo"
"176","Tonga"
"177","Trinidad and Tobago"
"178","Tunisia"
"179","Turkey"
"180","Turkmenistan"
"181","Tuvalu"
"182","Uganda"
"183","Ukraine"
"184","United Arab Emirates"
"185","United Kingdom of Great Britain and Northern Ireland"
"186","United Republic of Tanzania"
"187","United States of America"
"188","Uruguay"
"189","Uzbekistan"
"190","Vanuatu"
"191","Venezuela, Bolivarian Republic of…"
"192","Viet Nam"
"193","Yemen"
"580","Zambia"
"1357","Zimbabwe"